Country,Year,GDP_per_capita
SampleCountry,1961,1964
SampleCountry,1962,121.938353137505
SampleCountry,1961,1965
SampleCountry,1962,127.452629420688
SampleCountry,1961,1966
SampleCountry,1962,133.825452442565
SampleCountry,1961,1967
SampleCountry,1962,139.00671365539
SampleCountry,1961,1968
SampleCountry,1962,148.54773589139
SampleCountry,1961,1969
SampleCountry,1962,155.563836632849
SampleCountry,1961,1970
SampleCountry,1962,162.109361981884
SampleCountry,1961,1971
SampleCountry,1962,144.942611585759
SampleCountry,1961,1972
SampleCountry,1962,146.188006265858
SampleCountry,1961,1973
SampleCountry,1962,161.919987645529
SampleCountry,1961,1974
SampleCountry,1962,218.674868115625
SampleCountry,1961,1975
SampleCountry,1962,195.862429883454
SampleCountry,1961,1976
SampleCountry,1962,230.071773429019
SampleCountry,1961,1977
SampleCountry,1962,280.647467363285
SampleCountry,1961,1978
SampleCountry,1962,368.299318249614
SampleCountry,1961,1979
SampleCountry,1962,413.371325165801
SampleCountry,1961,1980
SampleCountry,1962,480.453251929752
SampleCountry,1961,1981
SampleCountry,1962,490.845698229478
SampleCountry,1961,1982
SampleCountry,1962,523.787850556313
SampleCountry,1961,1983
SampleCountry,1962,624.878499439191
SampleCountry,1961,1984
SampleCountry,1962,757.076872476687
SampleCountry,1961,1985
SampleCountry,1962,1324.54600249738
SampleCountry,1961,1986
SampleCountry,1962,1162.13284617137
SampleCountry,1961,1987
SampleCountry,1962,872.831672960917
SampleCountry,1961,1988
SampleCountry,1962,737.675009574289
SampleCountry,1961,1989
SampleCountry,1962,753.799755384647
SampleCountry,1961,1990
SampleCountry,1962,581.390712761563
SampleCountry,1961,1991
SampleCountry,1962,581.523802444086
SampleCountry,1961,1992
SampleCountry,1962,560.380581616461
SampleCountry,1961,1993
SampleCountry,1962,509.326733627227
SampleCountry,1961,1994
SampleCountry,1962,590.32143846879
SampleCountry,1961,1995
SampleCountry,1962,603.878907776782
SampleCountry,1961,1996
SampleCountry,1962,563.310080449865
SampleCountry,1961,1997
SampleCountry,1962,570.888640658992
SampleCountry,1961,1998
SampleCountry,1962,577.548741302288
SampleCountry,1961,1999
SampleCountry,1962,863.950571375448
SampleCountry,1961,2000
SampleCountry,1962,1065.68349722024
SampleCountry,1961,2001
SampleCountry,1962,1088.99680679674
SampleCountry,1961,2002
SampleCountry,1962,1137.74449616425
SampleCountry,1961,2003
SampleCountry,1962,521.364734349786
SampleCountry,1961,2004
SampleCountry,1962,516.932316255791
SampleCountry,1961,2005
SampleCountry,1962,530.653167271222
SampleCountry,1961,2006
SampleCountry,1962,616.796033062474
SampleCountry,1961,2007
SampleCountry,1962,694.500938597172
SampleCountry,1961,2008
SampleCountry,1962,834.86129094692
SampleCountry,1961,2009
SampleCountry,1962,989.699738831975
SampleCountry,1961,2010
SampleCountry,1962,1222.55049775568
SampleCountry,1961,2011
SampleCountry,1962,1393.74848679569
SampleCountry,1961,2012
SampleCountry,1962,1652.18985007053
SampleCountry,1961,2013
SampleCountry,1962,1439.04780321508
SampleCountry,1961,2014
SampleCountry,1962,1647.14984698519
SampleCountry,1961,2015
SampleCountry,1962,1824.72282666403
SampleCountry,1961,2016
SampleCountry,1962,1920.11991168727
SampleCountry,1961,2017
SampleCountry,1962,2113.31698591778
SampleCountry,1961,2018
SampleCountry,1962,2204.99569969979
SampleCountry,1961,2019
SampleCountry,1962,1845.76780421108
SampleCountry,1961,2020
SampleCountry,1962,1616.84319800249
SampleCountry,1961,2021
SampleCountry,1962,1560.16299864482
SampleCountry,1961,2022
SampleCountry,1962,1703.89639222804
SampleCountry,1961,2023
SampleCountry,1962,1783.65436491191
SampleCountry,1961,2024
SampleCountry,1962,1664.24917643553
SampleCountry,1961,2025
SampleCountry,1962,1747.84054911545
SampleCountry,1961,2026
SampleCountry,1962,1777.23501216669
SampleCountry,1961,2027
SampleCountry,1962,1568.72431045118
SampleCountry,1961,1984
SampleCountry,1962,729.111965489822
SampleCountry,1961,1985
SampleCountry,1962,657.982648547398
SampleCountry,1961,1986
SampleCountry,1962,634.221467312782
SampleCountry,1961,1987
SampleCountry,1962,636.83281102292
SampleCountry,1961,1988
SampleCountry,1962,650.491094413218
SampleCountry,1961,1989
SampleCountry,1962,772.468832586265
SampleCountry,1961,1990
SampleCountry,1962,697.526602399253
SampleCountry,1961,1991
SampleCountry,1962,770.10114008645
SampleCountry,1961,1992
SampleCountry,1962,807.43962838624
SampleCountry,1961,1993
SampleCountry,1962,907.747893072936
SampleCountry,1961,1994
SampleCountry,1962,965.866840464665
SampleCountry,1961,1995
SampleCountry,1962,881.919488130062
SampleCountry,1961,1996
SampleCountry,1962,668.706017459877
SampleCountry,1961,1997
SampleCountry,1962,449.727894936295
SampleCountry,1961,1998
SampleCountry,1962,334.973590276074
SampleCountry,1961,1999
SampleCountry,1962,404.29481849612
SampleCountry,1961,2000
SampleCountry,1962,531.11713680614
SampleCountry,1961,2001
SampleCountry,1962,521.702725075533
SampleCountry,1961,2002
SampleCountry,1962,429.188654099367
SampleCountry,1961,2003
SampleCountry,1962,392.725539027496
SampleCountry,1961,2004
SampleCountry,1962,563.733795571487
SampleCountry,1961,2005
SampleCountry,1962,533.586202412447
SampleCountry,1961,2006
SampleCountry,1962,882.147847234303
SampleCountry,1961,2007
SampleCountry,1962,992.698979254665
SampleCountry,1961,2008
SampleCountry,1962,1266.21086410236
SampleCountry,1961,2009
SampleCountry,1962,1916.46842218625
SampleCountry,1961,2010
SampleCountry,1962,2617.05196022633
SampleCountry,1961,2011
SampleCountry,1962,3141.0459797605
SampleCountry,1961,2012
SampleCountry,1962,4103.0669003635
SampleCountry,1961,2013
SampleCountry,1962,3136.64546955947
SampleCountry,1961,2014
SampleCountry,1962,3597.34293216332
SampleCountry,1961,2015
SampleCountry,1962,4615.91059831778
SampleCountry,1961,2016
SampleCountry,1962,5086.02740086376
SampleCountry,1961,2017
SampleCountry,1962,5057.74787833163
SampleCountry,1961,2018
SampleCountry,1962,5005.9997412707
SampleCountry,1961,2019
SampleCountry,1962,3213.90261080059
SampleCountry,1961,2020
SampleCountry,1962,1807.95294072643
SampleCountry,1961,2021
SampleCountry,1962,2437.25971190821
SampleCountry,1961,2022
SampleCountry,1962,2538.59139143371
SampleCountry,1961,2023
SampleCountry,1962,2189.85571407618
SampleCountry,1961,2024
SampleCountry,1962,1449.92286669308
SampleCountry,1961,2025
SampleCountry,1962,1925.87466082167
SampleCountry,1961,2026
SampleCountry,1962,2929.69445467272
SampleCountry,1961,2027
SampleCountry,1962,2308.15976731274
SampleCountry,1961,1984
SampleCountry,1962,590.607738430529
SampleCountry,1961,1985
SampleCountry,1962,663.2942082544
SampleCountry,1961,1986
SampleCountry,1962,668.454504242454
SampleCountry,1961,1987
SampleCountry,1962,661.546782448624
SampleCountry,1961,1988
SampleCountry,1962,639.484730161417
SampleCountry,1961,1989
SampleCountry,1962,639.865903755552
SampleCountry,1961,1990
SampleCountry,1962,693.873474633887
SampleCountry,1961,1991
SampleCountry,1962,674.793383069492
SampleCountry,1961,1992
SampleCountry,1962,652.774321396566
SampleCountry,1961,1993
SampleCountry,1962,697.995596576519
SampleCountry,1961,1994
SampleCountry,1962,617.230435515505
SampleCountry,1961,1995
SampleCountry,1962,336.586994504629
SampleCountry,1961,1996
SampleCountry,1962,200.852219772323
SampleCountry,1961,1997
SampleCountry,1962,367.279225077581
SampleCountry,1961,1998
SampleCountry,1962,586.416135130865
SampleCountry,1961,1999
SampleCountry,1962,750.604449178826
SampleCountry,1961,2000
SampleCountry,1962,1009.97711053398
SampleCountry,1961,2001
SampleCountry,1962,717.380047745673
SampleCountry,1961,2002
SampleCountry,1962,813.789396580449
SampleCountry,1961,2003
SampleCountry,1962,1033.24253162418
SampleCountry,1961,2004
SampleCountry,1962,1126.68334010717
SampleCountry,1961,2005
SampleCountry,1962,1281.6598256178
SampleCountry,1961,2006
SampleCountry,1962,1425.12421860142
SampleCountry,1961,2007
SampleCountry,1962,1846.12012081207
SampleCountry,1961,2008
SampleCountry,1962,2373.58129170055
SampleCountry,1961,2009
SampleCountry,1962,2673.78781583529
SampleCountry,1961,2010
SampleCountry,1962,2972.74362094736
SampleCountry,1961,2011
SampleCountry,1962,3595.03829536404
SampleCountry,1961,2012
SampleCountry,1962,4370.53971639449
SampleCountry,1961,2013
SampleCountry,1962,4114.13403283023
SampleCountry,1961,2014
SampleCountry,1962,4094.34968570481
SampleCountry,1961,2015
SampleCountry,1962,4437.14116097061
SampleCountry,1961,2016
SampleCountry,1962,4247.63134315945
SampleCountry,1961,2017
SampleCountry,1962,4413.06338346821
SampleCountry,1961,2018
SampleCountry,1962,4578.63320812155
SampleCountry,1961,2019
SampleCountry,1962,3952.80357364813
SampleCountry,1961,2020
SampleCountry,1962,4124.05538986272
SampleCountry,1961,2021
